bucket_id,client_id,evaluation_time,flags_kurt,flags_mad,flags_mag_shift,flags_magnitude,flags_skew,flags_spat,flags_spat_shift,flags_spec,flags_temp,flags_temp_shift,is_malicious,metrics_consecutive_anomalies,metrics_eps,metrics_kurt,metrics_mad95,metrics_mag_shift,metrics_magnitude,metrics_phi_s,metrics_phi_t,metrics_skew,metrics_spat_shift,metrics_temp_shift,round,suspicion_score,thresholds_eps,thresholds_mad95,thresholds_phi_s,thresholds_phi_t,timestamp,verdict
0,16,0.002318859100341797,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,-1.4439580457129635,126.27587233868721,3206525417738.569,3206.525417738569,1.0,0.9413784600915822,0.4403223268394844,0.0,0.058621539908417786,4,0.1,inf,inf,-inf,-inf,1764276945.088348,Clean
1,16,0.0012979507446289062,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,-1.2931963801011561,83260144908.67969,0.12329273284193659,3601.866699418813,0.9609122120483387,0.9609122120483387,0.4971610294025901,0.039087787951661346,0.01953375195675644,4,0.0,inf,inf,-inf,-inf,1764276945.1265652,Clean
2,16,0.0019409656524658203,False,False,False,False,True,True,False,False,False,False,False,0.0,0.0,-1.1925723578896859,48.92131566347376,0.07430148971135048,3334.2426379102158,0.9440225313808535,0.9453820665388436,0.5411782174625339,0.016889680667485196,0.015530145509495052,4,0.2,1e-06,67002590364.99926,0.9448675734438405,0.9407995355511125,1764276945.1577766,Clean
3,16,0.0019159317016601562,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,-1.3150332958589215,8.441906721705172,0.027595996656700723,3426.2543865986427,0.9474840851737643,0.9389224245992922,0.5041199920508973,0.0034615537929107987,0.006459641939551397,4,0.0,1e-06,56867736553.41878,0.9408887054162508,0.9380971404450998,1764276945.189147,Clean
4,16,0.0029366016387939453,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,-1.2770105519261403,4.460362996051717,0.019407344436918637,3492.7488856078853,0.9505978426578113,0.9564510990697933,0.4854701326931766,0.003113757484047075,0.017528674470501104,4,0.0,1e-06,49956086964.01776,0.9401126521755475,0.9400140085040776,1764276945.2228212,Clean
5,16,0.001974344253540039,False,False,False,True,True,False,False,False,True,False,False,1.0,0.0,-1.239806113183014,4.234642643156037,0.11036437976680316,3878.223950049303,0.9449102396555353,0.9261432660660238,0.5358696522080207,0.005687603002275998,0.03030783300376949,4,0.3,1e-06,44905914807.8817,0.9383894854723105,0.9333903731296598,1764276945.255732,Poisoned
6,16,0.0020170211791992188,False,False,False,False,True,True,False,False,True,False,False,2.0,0.0,-0.7771180298461777,5.318074990772525,0.07074003744168197,3603.8782426155167,0.9078645763566391,0.915352108455991,0.7588044547233633,0.03704566329889625,0.010791157610032798,4,0.36,1e-06,41029287994.58466,0.9255913218060772,0.9258329439329446,1764276945.2874465,Poisoned
7,16,0.0022614002227783203,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,-1.0510920871498761,4.026727908755653,0.04484107362862737,3442.2764729897413,0.9366454169576004,0.930743202114349,0.6307792317106462,0.02878084060096131,0.015391093658358002,4,0.0,1e-06,37943222823.21227,0.9249870306612926,0.9251697126888617,1764276945.3198123,Clean
8,16,0.0019402503967285156,False,False,True,True,False,True,True,False,True,True,False,1.0,0.0,-1.2578734045313376,50609.69785183813,1794.229713984017,6179677.008061078,0.04220035845255474,0.038601559802050836,-0.03129810634878146,0.8944450585050456,0.8921416423122982,4,0.6,1e-06,35417270002.84141,0.5623943376882319,0.5559055310289833,1764276945.3523674,Poisoned
9,16,0.0019559860229492188,False,False,True,False,False,False,True,False,False,True,False,2.0,0.0,-1.036401752576895,3.39897134132932,0.9994678356801008,3288.6036121912825,0.9245517441699246,0.9376443814620741,0.5663094584088689,0.8823513857173698,0.8990428216600233,4,0.36,1e-06,33304061351.128143,0.5837284510629492,0.5786686481992142,1764276945.3832798,Poisoned
